"Description"
"An application to be a Newsboy for the Afro-American submitted by Mrs. C. B. Berry."
"A blank Lighthouse and Informer receipt."
"A solicitor's record, home office order, and subscriber's report made by the Lighthouse."
"The back of a remittance envelope for the Lighthouse."
"The front of a Lighthouse remittance envelope."
"An ad about the Chicken Special for the Pig Trail Inn."
"A letter from Harold R. Washington about the Lighthouse and Harold's Tailoring."
"A prospectus of the Lighthouse with permanent publication schedules, operational procedures, and planned promotions."
"Temporary and Permanent Operating Costs including office printing supplies, rent, phone, heat, travel commissions, printing, manager, bookkeeper, advertising manager, editorial department, circulation department, weekly printing, and license."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mr. Kennedy and Mr. Coleman with three names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Alexander with two names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Brown with fourt names."
"A sign-up for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Brown with four names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Kennedy with six names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mr. Woods with five names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Williams with five names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Miller with four names."
"A sign-up for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Lybraud with two names."
"The Lighthouse Data Ad Sales People including the first edition report, rates, measurements, deadlines, market, and staff and personnel."
"A letter from the Lighthouse to John H. McCray about the Lighthouse including publishing, subscription rates, advertising rates, and deadlines."
"A business card for John H. McCray, editor and publisher, of the Lighthouse."
"A letter from Lighthouse Editorials about surrending ro race mongering."
"A data sheet for ad sales people about the Lighthouse with a first edition report, rates, measurements, deadlines, market, staff, and personnel."
"A statement form for the service, edition, and charges for the Lighthouse."
"A business card for the Lighthouse."
"A blank letter form from the Lighthouse Executive Office."
"An envelope from the Lighthouse."
"A blank newspaper order form from the Lighthouse."
"A document listing the different papers, trains, and zones in South Carolina."
"A card detailing the rates for the Lighthouse including advertising space, deadlines, mechanics, and subscriptions."
""
"A letter from Franklin H. Whittaker to Mr. John McCray, Sr. about McCray's circulation work and his pay."
"They Laughed All the Way by John H. McCray (PDP Founder, State Chairman, 1944-64)."
"The Need for Changing by John H. McCray with He Gritted His Teeth."
"A special offer from the Lighthouse that lets summer school students subscribe to the Lighthouse and Informer for only $3.00 until Friday July 22."
"A blank document from the Lighthouse and Informer."
"A petition to the Governor of South Carolina, President of the State Senate, and Speaker of the House of Representatives from John H. McCray and Annie Belle Weston on January 19, 1945."
"A proposal for an executive office for the executive state committee of the Progressive Democratic Party on January 19, 1945."
"A letter to Mr. McCray sent on January 29, 1945."
"A letter to Virgie A. Evans from John H. McCray sent on February 15, 1945."
"A document with suggestions for block captains made on February 23, 1945."
"A letter to Mr. McCray from C. E. McKaine sent on March 12, 1945."
"A letter to John from Jules sent on March 12, 1945."
"A letter to the chairman of the Progressive Democratic Party from William H. Simmons, Sr. sent on March 13, 1945."
"A letter to Mr. John H. McCray from Sarah L. Daniels sent on March 14, 1945."
"A letter to Mr. John H. McCray from G. E. Nelson sent on March 14, 1945."
"A letter to Mrs. A. L. Walker from John H. McCray sent on March 21, 1945."
"A letter from G. R. Seideman sent on March 18, 1945."
"A letter to the county chairmen and special speakers from G. E. McKaine and J. H. McCray sent on April 26, 1945."
"A letter to executive officers and auxiliary chairs from John H. McCray sent on September 12, 1945."
"The whys, whats, and information of the Progressive Democratic Party."
"A letter to the state committee from John H. McCray and Oscoola E. McKaine sent on May 3, 1945."
"A letter to county chairmen and special speakers from O. E. McKaine and J. H. McCray sent on May 3, 1945."
"A letter to the minister from John H. McCray sent on May 7, 1945."
"A letter to Brother McCray from Jesse E. Beard sent on May 11, 1945."
"A letter sent on May 11, 1945."
"An organization diagram of the Progressive Democratic Party and a memorandum to the state committee on May 11, 1945 from John H. McCray."
"A letter to President Harry S. Truman from John H. McCray sent on May 12, 1945."
"A letter to John H. Daniels from John H. McCray sent on May 17, 1945."
"A letter to Mr. McCray sent on May 23, 1945."
"A letter to fellow citizens from John H. McCray sent on May 30, 1945."
"A letter to Reverand J. H. Spigner from John H. McCray sent on May 30, 1945."
"A letter to Mr. McCray from William D. Hassett sent on June 6, 1945."
"A letter to President Harry S. Truman from John H. McCray sent on June 7, 1945."
"A letter to John from Gennie sent on June 8, 1945."
"A letter to Alice sent on June 8, 1945."
"A letter to Congressman William L. Dawson from John H. McCray sent on June 11, 1945."
"A letter to co-workers from John H. McCray sent on June 13, 1945."
"A letter to John H. McCray from H. N. Cantwell sent on June 19, 1945."
"A letter to John H. McCray from Dr. Olin Sawyer sent on July 2, 1945."
"A letter to Dr. Charles S. Johnson from John H. McCray sent on July 10, 1945."
"A letter to John H. McCray from C. S. McCall sent on July 17, 1945."
"A letter to Fred D. Marshall from O. E. McKaine and John H. McCray sent on July 24, 1945."
"A letter to Lester L. Bates from O. E. McKaine and John H. McCray sent on July 24, 1945."
"A letter to Fred Eays from O. E. McKaine and John H. McCray sent on July 24, 1945."
"A letter to Gary Peschal from John H. McCray sent on July 24, 1945."
"A letter to Mr. O. E. McKaine from Gary Paschal sent on July 26, 1945."
"A letter to Mr. John H. McCray from Charles E. Johnson sent on July 28, 1945."
"A letter to Mr. John H. McCray from James A. Dombrowski sent on July 30, 1945."
"A letter to Mr. O. E. McKaine from Lester L. Bates sent on July 31, 1945."
"A letter to Lester L. Bates from O. E. McKaine and John H. McCray sent on August 2, 1945."
"A letter from O. E. McKaine and John H. McCray sent on August 9, 1945."
"The Palmetto State by O. E. McKaine on August 9, 1945."
"A letter to Mr. H. B. Butler from John H. McCray sent on August 11, 1945."
"A letter to Fred D. Marshall from John H. McCray sent on August 11, 1945."
"A letter from John H. McCray sent on August 16, 1945."
"A letter to James F. Byrnes from John H. McCray sent on August 17, 1945."
"A letter to Mr. James A. Dombrowski from John H. McCray sent on September 10, 1945."
"A letter to John H. McCray from J. Frank Eatmon sent on September 21, 1945."
"A letter to John H. McCray from A. U. Hill sent on September 21, 1945."
"A letter to Mr. John H. McCray from L. Howard Bennett sent on September 26, 1945."
"A letter to a fellow American from John H. McCray sent on October 3, 1945."
"A letter to fellow Democrats and kind friends from William L. Dawson sent on October 13, 1945."
"A letter to Mr. John C. Artemus from A. Jay Bennett sent on October 16, 1945."
"A letter to Mr. John H. McCray from L. Howard Bennett sent on October 26, 1945."
"A poster for the mass meeting and rally at the Savanti Savoy Hall at 515 Third Ave in Utica, N. Y on October 29, 1945."
"A letter to Mr. John H. McCray from Fred D. Marshall sent on November 21, 1945."
"Congressional Record about the Japanese attack on Pearl Harbor."
"The proposed salary schedule for 1945-46 of the Columbia City Schools."
"A letter to county, precinct, ward, club, and auxilary chairmen from John H. McCray."
"A letter to John H. McCray."
"A letter to honorable sirs about education, employment, and the ballot."
"An order form for stamps from Mr. J. C. Artemus and Mr. O. E. McKaine."
"An enveloped order receipt for the Progressive Democratic Party on December 31, 1945."
"A cash receipt from the R. L. Bryan Company on July 7, 1945."
"A Cary Printing Company receipt to the Progressive Democratic Party on October 5, 1945."
"A document with notes about the Lighthouse and Informer made on October 1, 1945."
"A letter to J. Strom Thurmond from John H. McCray sent on January 1, 1960."
"A letter to John H. McCray from Strom Thurmond sent on January 14, 1960."
"A letter to Ernest F. Hollings, Edgar A. Brown, and Sol C. Blatt from John H. McCray sent on February 10, 1960."
"A letter to John H. McCray from Gary Paschal sent on February 15, 1960."
"A letter to John H. McCray from Ernest Hollings sent on February 19, 1960."
"A letter to Mrs. Alice H. Spearman from John H. McCray sent on February 25, 1960."
"A letter to Mrs. Alice H. Spearman sent on February 26, 1960."
"A letter to Ernest F. Hollings, Edgar A. Brown, and Bob C. Blatt sent on February 2, 1960."
"A letter from Lincoln C. Jenkins, Jr. sent on March 10, 1960."
"A letter to John H. McCray sent on March 6, 1960."
"A letter to Mrs. Modjeska M. Simkins from John H. McCray sent on March 15, 2020."
"A letter to Mr. Jenkins from John H. McCray sent on March 15, 1960."
"A letter to Dr. T. J. Everett from John H. McCray sent on March 15, 1960."
"A letter to Ernest F. Hollings and Bruce W. White from John H. McCray sent on March 18, 1960."
"A letter to Rev. A. J. Jenkins from John H. McCray sent on March 25, 1960."
"A letter to Mr. John L. Hunter sent on John H. McCray sent on March 25, 1960."
"A letter to John from Jim sent on May 27, 1960."
"A letter to William L. Dawson from John H. McCray sent on September 12, 1960."
"A letter to John H. McCray from Oliver N. Hill sent on September 15, 1960."
"A letter to Mr. John H. McCray from Marshall L. Shepard sent on September 27, 1960."
"A letter to Mr. John H. McCray from Frank K. Sloan sent on September 27, 1960."
"A letter to a citizen from John H. McCray sent on September 29, 1960."
"A telegram from John H. McCray sent on October 4, 1960."
"A telegram to John H. McCray sent on October 5, 1960."
"A telegram to John H. McCray from John F. Kennedy sent on October 5, 1960."
"A public program for the Southern Progressive Democrats on October 5, 1960 at Allen University."
"A letter from John H. McCray sent on October 17, 1960."
"A letter to Mark B. Tolbert from John H. McCray sent on October 26, 1960."
"A letter to John H. McCray from John F. Kennedy sent on September 29, 1960."
"A release to newspapers from Senator Kennedy about calling a national conference on constitutional rights on September 20, 1960."
"An RSVP invitation to John F. Kennedy."
"A telegram from John H. McCray sent on October 5, 1960."
"A telegram from Lyndon B. Johnson sent on October 5, 1960."
"A  telegram to John H. McCray from James H. Goudluck sent on October 5, 1960."
"A telegram from William L. Dawson sent on October 5, 1960."
"A letter from John H. McCray sent on October 10, 1960."
"A letter to Cole and Porcher from John H. McCray sent on October 17, 1960."
"A letter to Mr. Edward Sylvester from John H. McCray sent on October 20, 1960."
"A flyer for the Sixth Congressional District Political Action Rally on October 23, 1960."
"A letter to Mr. Mark B. Tolbert from John H. McCray sent on October 28, 1960."
"A letter to Mr. J. E. Williams sent on October 31, 1960."
"A telegram to John H. McCray sent on November 1, 1960."
"A telegram to John H. McCray from Louis E. Martin sent on November 1, 1960."
"A telegram from John H. McCray sent on November 4, 1960."
"A letter to John H. McCray from W. D. Workman sent on November 13, 1960."
"A letter to William L. Dawson from John H. McCray sent on November 15, 1960."
"A letter to William L. Dawson from John H. McCray sent on November 21, 1960."
"A letter to a cordinator from Marjorie McKenzie Lawson sent on December 16, 1960."
"A Letter to Mr. R. Sergeant Shriver, Jr. from John H. McCray sent on December 19, 1960."
"A financial explenation sheet of funding for campaigns and transport."
"A leter to a friend from Edward H. Foley."
"A document of the calender and information for the inaugural activities."
"A letter to Mr. Jenkins."
"An invitation to a testimonial luncheon honoring Mr. Paul M. Butler on June 11, 1960."
"A document about the Democratic and Republican Party leadership."
"A newspaper article about the minglingof races at C. I. O. Canteen in Capital Deplored."
"A letter from Dr. E. A. Adams to S. J. McDonald sent on March 2, 1944."
"A document about the colored movement in South Carolina at the Democratic National Convention."
"A letter to Reverand W. McCray sent on April 27, 1944."
"A letter to the Honorable J. Bates Gerald sent on April 27, 1944."
"A letter to L. Howard Bennett from Mr. John H. McCray sent on May 5, 1944."
"A letter to Dr. J. G. Stevens from John H. McCray sent on May 13, 1944."
"A letter to Mrs. J. A. Mason to John H. McCray sent on May 15, 1944."
"A letter to Mr. John H. McCray sent on May 15, 1944."
"A letter from John H. McCray sent on May 17, 1944."
"A letter to Mr. John H. McCray from F. H. Beatty sent on May 18, 1944."
"A letter to the Honorable W. P. Blacknell from John H. McCray sent on May 18, 1944."
"A letter to John H. McCray from Paulina Kackezon sent on May 19, 1944."
"A letter to John H. McCray from W. P. Blacknell sent on May 19, 1944."
"A program for the Progressive Democratic Party of South Carolina State Convention on May 24, 1944."
"The rules of the Progressive Democratic Party."
"A document about the Progressive Democratic Meeting on May 24, 1944."
"A letter to the President from John H. McCray."
"A letter to John H. McCray from Captain James J. Lever Jr. sent on May 1, 1944."
"A letter from John H. McCray sent on May 4, 1944."
"A letter to the Honorable Robert E. Hannegan from John H. McCray sent on June 7, 1944."
"A letter to Reverand A. Clayton Powell from John H. McCray sent on June 8, 1944."
"A letter to Mrs. Franklin D. Roosevelt from John H. McCray sent on June 9, 1944."
"A letter from John H. McCray sent on June 12, 1944."
"A letter from John H. McCray sent on June 9, 1944."
"A letter to John H. McCray from Miss Jane Noland sent on June 12, 1944."
"A letter to Mr. John H. McCray from  A. Clayton Powell Jr. sent on June 13, 1944."
"A letter to John H. McCray from E. B. Bayer sent on June 15, 1944."
"A letter to Hubert L. Bruce from Nat J. Humphries sent on June 18, 1944."
"A letter to Mr. John H. McCray from John Williams sent on June 19, 1944."
"A letter to Mr. J. C. Artemus from John W. Sligh sent on June 19, 1944."
"A letter to A. Clayton Powell Jr. sent on June 21, 1944."
"A letter to the Honorable L. Dawson from John H. McCray sent on June 23, 1944."
"A letter to John H. McCray from J. B. Drake sent on June 22, 1944."
"A letter to Mr. Brucer sent on June 22, 1944."
"A letter to Magistrate Joseph A. Rainey from John H. McCray sent on June 24, 1944."
"A letter from Sam Woodson sent on June 26, 1944."
"A letter to a congressmen from Nat J. Humphries sent on June 28, 1944."
"A letter to Mr. John H. McCray from Robert Hannegan sent on June 29, 1944."
"A letter to Mr. John H. McCray from C. B. Baldwin sent on June 29, 1944."
"A letter to John H. McCray from F. B. Hanson sent on June 29, 1944."
"A document detaiing what they say about the Democratic Progressive Party."
"The Democratic Manual for the Democratic National Convention on July 19, 1944."
"A Report from the State Chairman about the Progressive Democratic Party of South Carolina made on June 26, 1944."
"A letter to John H. McCray from Nat J. Humphries sent on June 28, 1944."
"A document about Negroes organizing a Democratic Party to counter White Supremacy in the Deep South by Margaret Vale on May 25, 1944."
"A letter to John H. McCray from A. J. Clement, Jr. sent on August 11, 1944."
"The receipts registered for articles No. 3789, 3790, 3791, and 3792 on August 9, 1946."
"The special telephone information for the Democratic National Convention on July 4, 1948."
"A letter to Mr. John H. McCray from Howard Bennett sent on November 1, 1946."
"A letter to Mr. Roosevelt Franklin from John H. McCray sent on January 11, 1946."
"A letter to Dr. Frank C. Owens from John H. McCray sent on January 26, 1946."
"A letter to Ransome J. Williams from John H. McCray sent on February 5, 1946."
"A document about Govenor J. Williams intervention of alleged intimidation and interference of colored registration by the sheriff and his voters on February 6, 1946."
"A letter to Bill Lewis from John H. McCray sent on Marc 5, 1946."
"A letter to Reverand W. L. Liddell from John H. McCray sent on March 11, 1946"
"A letter to Solomon Blatt from John H. McCray sent on April 3, 1946."
"A letter to Mr. John H. McCray from Solomon Blatt sent on April 8, 1946."
"A return receipt to the Progressive Democratic Party sent on April 4, 1946."
"A letter from John H. McCray sent on April 22, 1946."
"A letter to J. D. Perler from John H. McCray sent on April 26, 1946."
"Offical call to state meetings made by John H. McCray on April 27, 1946."
"A document about if America needs a third party on May 3, 1946."
"A document about the business before the state committee on May 8, 1946."
"A letter to John H. McCray from G. S. Percher sent on May 4, 1946."
"The affidavit of Alexander Wilds on May 4, 1946."
"A document about what is your answer to white-only Democrats who voted to keep Negroes out of the Democratic Party by John H. McCray on Wednesday, May 15, 1946."
"A letter to a fellow democrat sent on May 15, 1946."
"A letter to a citizen from John H. McCray sent on May 17, 1946."
"A letter to Mr. Theron L. Caudle from John H. McCray sent on May 18, 1946."
"The 1946 Biennial Convention of the Progressive Democratic Party of South Carolina in Columbia, S. C. on May 22, 1946."
"A letter to Mr. John H. McCray from Theron L. Caudle sent on May 28, 1946."
"A letter to Mr. John H. McCray from Theron L. Caudle sent on May 29, 1946."
"A letter to Thomas B. Pearce from John H. McCray sent on May 29, 1946."
"A letter to John H. McCray from Tom D. Pearce sent on May 30, 1945."
"The minutes of the second annual meeting of the Progressive Democratic Party of South Carolina."
"A letter to Fred L. Hiers from John H. McCray sent on June 7, 1946."
"A letter to Ransome J. Williams from John H. McCray sent on June 12, 1946."
"A letter to Ransome J. Williams from John H. McCray sent on June 13, 1946."
"A letter to Harold R. Boulware from John H. McCray and J. C. Artemus sent on July 1, 1946."
"A letter to Reverand C. J. Cohn sent on July 12, 1946."
"A letter to Mr. Lucius Wright from John H. McCray sent on July 22, 1946."
"A letter to Robert E. Hannegan from John H. McCray sent on July 22, 1946."
"A list of items and the people that they were sent to."
"A letter to Grier R. Ewing from Carter Wesley sent on December 11, 1946."
"A copy of the Congressional Record of the proceedings and debates of the second session of the 79th Congress."
"A letter to Mr. Lucius S. Wright from John H. McCray sent on August 11, 1946."
"A letter to Mr. W. F. Porter from John H. McCray sent on August 11, 1946."
"A letter to John H. McCray from John Lindsey Bower Jr. sent on August 21, 1946."
"A letter to Ransome J. Williams from John H. McCray sent on August 24, 1946."
"A letter to Thomas B. Pearce from John H. McCray sent on August 24, 1946."
"A letter to John H. McCray from Ransome J. Williams sent on August 27, 1946."
"A letter to John H. McCray from Tom B. Pearce sent on August 27, 1946."
"A letter to John H. McCray from Oscar R. Ewing sent on September 10, 1946."
"A letter to Oscar R. Ewing from John H. McCray sent on September 16, 1946."
"An outline of interests for the state committee meeting of the Progressive Democratic Party on October 12, 1946."
"A memorandum to executive officers of the Progressive Democratic Party."
"A letter to Mr. Theron L. Caudle from John H. McCray sent on October 10, 1946."
"A memorandum to executive officers of the Progressive Democratic Party about disbarment of states limiting party membership on October 4, 1946"
"A memorandum to executive officers of the Progressive Democratic Party about disbarment of states limiting party membership on October 4, 1947"
"A letter to Mr. John H. McCray from Franklin H. Williams sent on October 9, 1946."
"A letter to Mr. John H. McCray from Theron L. Caudle sent on October 23, 1946."
"A telegram to John H. McCray from G. S. Porcher sent on October 30, 1946."
"A letter to a co-worker from a John H. McCray sent on November 11, 1946."
"A letter to a fellow citizen from John H. McCray sent on November 25, 1946."
"A letter to friend McCray from Isaac J. sent on October 12, 1946."
"A letter to Oscar R. Ewing from John H. McCray sent on December 9, 1946."
"A letter to Mr. C. A. Scott from John H. McCray sent on December 9, 1946."
"A letter to Mr. Oscar R. Ewing from John H. McCray sent on December 12, 1946"
"A letter to Mr. Oscar R. Ewing from John H. McCray sent on December 12, 1947"
"A letter to Mr. John H. McCray from Carter Wesley sent on December 11, 1946."
"A letter to Mr. John H. McCray from H. Howard Bennett sent on December 17, 1946."
"A letter to Oscar R. Ewing from John H. McCray sent on December 17, 1946."
"A letter to Howard from John H. McCray sent on December 12, 1946."
"Three decades of social engineering and action by the Chicago Urban League in industrial, race relations, and civic education."
"Pupil enrollment and teacher personnel in the Columbia system in 1943-46."
"A letter to Mr. McCray from Mable Green."
"A letter to John from Nat J. Humphries."
"A special press release from the Progressive Democratic Party."
"He was a Sunday fisherman."
"A cash sale receipt from the R. L. Bryan Company to the Lighthouse and Informer from May 28, 1946."
"A cash sale receipt from the R. L. Bryan Company to the Lighthouse and Informer from May 11, 1946."
"A Cary Printing Company delivery receipt to the Progressive Democrats on May 13, 1946."
"Richland County stamp prices on May 15, 1946."
"A Columbia Blue Print Company order form for John H. McCray on May 30, 1946."
"A memo to Messrs. Gillespie, McCray, Turner, Hillen, G. Lee, Walker, Carter and Lowther from James H. Murphy sent on January 3, 1956."
"An earning statement from the Afro American for earnings and tax records."
"A memo to Messrs. Gillespie, McCray and Turner from James H. Murphy sent on May 23, 1956."
"A letter to Mr. McCray sent on January 1, 1956."
"A memo to Mr. John H. McCray from James H. Murphy sent on January 24, 1956."
"A memo to Mr. A. J. Turner from James H. Murphy sent on January 24, 1956."
"The final out sheet made on January 28, 1956 with three names."
"A document with the information about a new agent in South Carolina."
"A change sheet of the Afro-American Newspaper for the week of January 28, 1956."
"The January 1956 issue of the Circulator's Idea Service."
"The net paid circulation of the Afro-American Newspapers from March 31, 1956 to March 30, 1957."
"The net paid circulation of the Afro-American Newspapers from March 24, 1956 to March 23, 1957."
"The net paid circulation of the Afro-American Newspapers from March 17, 1956 to March 16, 1957."
"A document listing the names of two new South Carolina Agents joining the week ending of May 12, 1956."
"A change sheet of the Afro-American Newspapers for the week of May 12, 1956."
"The final out sheet made on May 12, 1956 with four names."
"A telegram to James H. Murphy from John H. McCray sent on July 6, 1956."
"A release from the office of Congressman Charles C. Diggs, Jr. on July 29, 1956."
"A letter to Mr. John H. McCray from James L. Macanic sent on September 7, 1956."
"The Afro-American Agent Application of Mrs. E. H. Cave made on October 6, 1956."
"The Afro-American Agent Application of Mr. P. B. Martin made on October 6, 1950."
"The Afro-American Agent Application of Mrs. Etta A. Thompson made on October 6, 1956."
"The Afro-American Agent Application of Mrs. A. L. Myers made on October 6, 1956."
"The Afro-American Agent Application of Miss E. L. M. Brown made on October 8, 1956."
"The Afro-American Agent Application of Mrs. Sara Williams made on October 11, 1956."
"A letter to Mr. George Breach from John H. McCray sent on October 24, 1956."
"A letter to Mr. McCray from George Breach sent on October 3, 1956."
"The Afro-American Agent Application of Mrs. H. P. Broadhurst made on November 3, 1956."
"A letter to Mr. McCray from Reverand J. J. Alston made on November 4, 1956."
"The Afro-American Agent Application of Mrs. B. G. Sanders made on November 17, 1956."
"The Afro-American Agent Application of Mrs. Mary E. Brayboy made on November 24, 1956."
"The Afro-American Agent Application of Mr. Luther H. Sirler."
"The Afro-American Agent Application of Mrs. M. W. Bright."
"The Afro-American Agent Application of Mr. George W. Caldwell."
"The Afro-American Agent Application of Mrs. Leila Brayboy."
"The Afro-American Application of Mrs. J. C. McLeod."
"The Afro-American Agent Application of Mr. James B. Bradley."
"The Afro-American Agent Application of Mr. E. F. Rountree."
"The Afro-American Agent Application of Mr. M. B. Wilson."
"The Afro-American Agent Application of Mrs. R. S. Langford."
"The Afro-American Agent Application of Mrs. Wilhelmina Coleman."
"The Afro-American Agent Application of Mrs. C. D. Ferguson."
"The Afro-American Agent Application of Mrs. Virginia S. Williams."
"The Afro-American Application of Mr. Phanes Barns."
"The Afro-American Agent Application of Mr. Eddie Thomas."
"The Afro-American Agent Application of Miss Mary E. David."
"The Afro-American Agent Application of Mr. Jesse Barnes."
"The Afro-American Agent Application of Willie Rogers, Jr."
"A report on the unpaid copies of all editions for the 4th quarter from October to December."
"The Net Paid Circulations of the 4th Quarter in 1956 from October to December."
"A check to the Afro-American Newspapers for $10.37 made on March 28, 1956."
"An agent's weekly report to the Afro-American in 1956."
"A memo to Messrs.  Lee, Hillen, Hayes, Carter, McCray, Gillespie and Turner from James H. Murphy sent on March 8, 1957."
"A memo to Mr. John H. McCray and Mr. A. J. Turner from James H. Murphy sent on April 1, 1957."
"A memo to Mr. John H. McCray and Mr. A. J. Turner from James H. Murphy sent on April 2, 1957."
"A memo to Messrs. Lee, Terrell, Hayes, Gillespie, McCray, and Turner from James H. Murphy sent on April 9, 1957."
"A letter to Mr. Donald Gross from John H. McCray sent on April 13, 1957."
"A letter to Mr. Donald F. Gross from John H. McCray sent on April 28, 1957."
"A letter to Mr.  James H. Murphy from John H. McCray sent on October 11, 1957."
"A document listing the new agents in South Carolina that joined on the week ending October 19, 1957."
"An out sheet of the Afro-American Newspaper Company made on October 19, 1957."
"A change sheet from the Afro-American Newspaper Company made on October 19, 1957."
"A document of the returns and allowances of the circulation department made on October 12, 1957."
"A net paid circulation document from the Afro-American Newspaper Company."
"A letter to Mr. James H. Murphy from John H. McCray sent on December 3, 1959."
"A document about the Wentworth Factory News made on December 11, 1957."
"The Field Men's Weekly Production Report for the week of December 14, 1957."
"A document of the new agents that joined the week ending December 14, 1957."
"An out sheet of the Afro-American Newspaper Company made on December 14, 1957."
"A document of the returns and allowances of the circulation department made on October 7, 1957."
"A change sheet from the Afro-American Newspaper Company."
"A change sheet of the Afro-American Newspaper Company made on December 14, 1957."
"A Christmas Card from the Afro-American Newspaper Company sent on December 20, 1957."
"A withholding tax statement from the Afro-American Company."
"A memo to Mr. John H. McCray from Mahlon Oswell sent on December 31, 1957."
"A list of names and addresses."
"A price list of the Afro-American Newspapers."
"A press card of a representative of the Independent Press Service."
"A list of names, addresses and notes."
"The South Carolina Circulation for the First Quarter, 1957 by John H. McCray."
"The North Carolina Circulation report for the Fourth Quarter of 1957."
"A circulation report of the Afro-American Newspaper in South Carolina."
"The telephone expenses of the Tuskegee Series."
"A document about the problems and approaches to South Carolina Circulation written by John H. McCray on January 13, 1958."
"A letter to Mr. James H. Murphy from John H. McCray sent on January 28, 1958."
"A letter to Mr. James H. Murphy from John H. McCray sent on February 28, 1958."
"A letter to Mr. Mahlon Cawell from John H. McCray sent on March 1, 1958."
"A letter to Mr. John H. McCray from David W. Roston sent on March 4, 1958."
"A document of the South Carolina Agents made on April 2, 1958."
"A memo to Mr. John H. McCray from James H. Murphy sent on April 8, 1958."
"A letter to Mr. McCray from D. A. Bradley sent on April 10, 1958."
"An advertisement about getting an afro agents in your community."
"A note to Mr. McCray from James H. Murphy sent on April 11, 1958."
"A document of North Carolina School Accounts issued on April 26, 1958."
"A letter to Mr. James H. Murphy from John H. McCray sent on May 8, 1958."
"A letter to Mr. James H. Murphy from John H. McCray sent on May 17, 1958."
"A letter to Mr. James H. McCray from John H. McCray sent on May 22, 1958."
"A letter to Mr. James H. Murphy from John H. McCray sent on May 24, 1958."
"A letter to Mr. James H. Murphy from John H. McCray sent on May 26, 1958."
"A letter to Mr. James H. Murphy from John H. McCray sent on May 27, 1958."
"A letter to Mr. James H. Murphy from John H. McCray sent on May 31, 1958."
"A letter to Mr. James H. Murphy from John H. McCray sent on June 2, 1958."
"A letter to Mr. James H. Murphy from John H. McCray sent on June 18, 1958."
"An Afro-American Routing Slip to John H. McCray sent on June 24, 1958."
"A letter to Mr. John H. McCray from M. A. McPherson."
"A document about new agents that joined the week ending June 28, 1958."
"A change sheet for July 5, 1958."
"The returns and allowances of the Afro-American Company Circulation Department for June 21, 1958."
"A change sheet of the Afro-American Company for June 28, 1958."
"A South Carolina out sheet for June 28, 1958."
"A change sheet of the Afro-American Company for July 5, 1958."
"The returns and allowances of the Afro-American Company Circulation Department for June 28, 1958."
"An out sheet for July 5, 1958."
"A letter to Mr. John H. McCray from Mable W. Harrold sent on July 13, 1958."
"A letter to Mr. John H. McCray from Helen D. Smith sent on July 18, 1958."
"A letter to Mr. McCray from Arthur Evans sent on August 1, 1959."
"The outs and changes sent to Mr. McCray from Arthur Evans sent on August 8, 1959."
"A change sheet of the Afro-American Company for August 8, 1959."
"A memo to Mr. Lomax and Mr. McCray from C. W. Mackay sent on August 27, 1959."
"The returns and allowances of the Afro-American Company Circulation Department for August 30, 1958."
"A letter to Mr. James H. Murphy from John H. McCray sent on August 21, 1958."
"A letter to Mr. James H. Murphy from John H. McCray sent on August 26, 1958 and a copy sent to Mr. Evans."
"A letter to Mr. James H. Murphy from John H. McCray sent on August 28, 1958 and a copy sent to Mr. Evans."
"A letter to Mr. James H. Murphy from John H. McCray sent on August 30, 1958 and a copy sent to Mr. Arthur Evans."
"A memo to Mr. John H. McCray from James H. Murphy sent on September 3, 1958."
"A South Carolina Out Sheet with three names on it made on September 5, 1958."
"A document listing the new agents recruited for the week ending September 6, 1958."
"A document listing the travel for Mr. McCray of the week ending September 6, 1958."
"The outs of the state of South Carolina for the week ending August 30, 1958."
"A change sheet with 5 names for the week of September 6, 1958."
"A memo to Mr. John H. McCray from James H. Murphy sent on September 9, 1958."
"A change sheet with 10 names for the week of September 6, 1958."
"The returns and allowances of the Circulation Department for the week ending September 6, 1958."
"A letter to Mr. Cooks from John H. McCray sent on September 10, 1958."
"A letter to Mr. Henry Lee Moon from John H. McCray sent on September 11, 1958."
"A memo to Mr. John H. McCray from Mahlon Oswell sent on September 12, 1958."
"A letter to Mr. James H. Murphy from John H. McCray sent on September 12, 1958."
"A change sheet for the week ending September 13, 1958."
"A memo to Mr. Arthur Evans from James H. Murphy sent on September 9, 1958."
"A letter to Mr. James H. Murphy from John H. McCray sent on September 10, 1958."
"The returns and allowances of the Circulation Department for the week ending September 13, 1958."
"A document listing the agents recruited for the week ending September 13, 1958."
