Title,Creator,Contributors,Extent,Date,Source,Subject,Description,Digital Collection,Website,Contributing Institution,Rights,Time Period,Geographic Location,Language,Digitization Specifications,Date Digital,Type,Format,Media Type,Identifier,Note,Digital Assistant,Transcript,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
"Letter, 1957 February 4, Bishop S.L. Greene to Adams providing updates on a General Conference Commission meeting",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Correspondence;Letters,adamsea37-04,,,"/y-^^'7j
GRANITE 6-5990
A. M. E. CHURCH REVIEW
-------------------CT^ Quarks-tCy ez^a^azins--------------
February 4, 1	5828 RACE STREET
9	(P/iifadsfyilita 39, ^Pe.nna.
5
7
Dear Dr. Adams:
The meeting of the Commission named by the
General Conference at Miami, Florida, May 1956 to arrange for the Observance of the Ei-Centennial of the birth of Richard Allen in 1960 will meet at the hotel room of Bishop
S. L. Greene, Cincinnati, Ohio, 8:00 P. M.
February 19, 1957. Disregard previous letter.
Yours in His Name,
GAS:e
BISHOP S. L. GREENE RESIDENT. BISHOPS COUNCIL
G30RGE1A. SINGLETON
ACTING SECRETARY",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/470,470,471.jp2,/adamsea/image/471.jp2
"Card, 1956, Southern Clergy Permit Agent's Coupons",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Cards;Permits,adamsea37-05,,,"ISOUTHERN CLERGY PERMIT
1953 AGENT’S COUPON	23
To
(Owner of certificate will write destination and state, inserting “round trip” where round trip ticket is desired, and must personally detach this coupon in presence of agent and hand coupon to agent, when buying ticket.)
VI	(Holder’s Signature)	
	Form	No.
	Agent will fill in Form and Number of Ticket and Stamp on Back.	
SOUTHERN CLERGY PERMIT		
1956 AGENT’S COUPON		22
		
(Owner of certificate will write destination and state, inserting “round trip” where round trip ticket is desired, and must personally detach this coupon in presence of agent and hand coupon to agent, when buying ticket.)		
	(Holder’s Signature) Form	I No.	
	Agent will fill in Form and Number of Ticket and Stamp on Back.",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/471,471,472.jp2,/adamsea/image/472.jp2
"Letter, no date, Dean A.D. Greene of Allen University to ""members of the Trustee Board, ministers, laymen, alumni, and friends"" discussing an upcoming election, page 1",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Correspondence;Letters,adamsea37-06,,,"735?

""REMEMBER THE ’56 STORYlll"" ""WILL HISTORY REPEAT ITSELF?""
TO MEMBERS OF THE TRUSTEE BOARD, MINISTERS, LAYMEN, ALUMNI AND FRIENDS
This no doubt will be my last written communication to you before the day of election. I have tried in previous communications to present my case to you representing my interest in serving you as president of Allen University. Some of you I have had the opportunity of coming into your homes for a fireside chat, for this fellowship I am very grateful to you. It is with much regret that I was not able to visit all of you, but being so engrossed with the responsibility assigned to me as a member of the committee appointed to run Allen University during the interim of electing a president, I was unable to leave the university for any length of time. I trust that you will not take it as an offense or as a selective oversight on my part.
Soon you will be called to attend a board meeting at which time no doubt the election of the president of Allen University will take place. Many times many of you or your predecessors gathered within the sacred hallowed walls of Allen University to exercise the God given rights and duties to select a president to carry on the heritage vouch-safe to us by the fathers of yesterdays. Their images are looking down upon you this day and their spirits are gathering on the banks of glory watching you their sons and daughters with hopes that you will prove worthy of the heritage transcended to you. May God give you the faith and courage to so act that the sacrifices of hard working mothers, fathers and guardians of the students of Allen, the illustrious alumni and loyal supporters who plowed the fields, labored over wash-tubs and all walks of life to give of their aid that Allen University will not fall by the wayside while others march on to win the prize.
May I propose to you some very important questions or statements for you to consider before you cast your vote ----remember truth crushed to earth shall rise again and the righteous shall prevail.
1.	Will the next president of Allen be appointed by a special committee or named by a clique or one who claim authority?
2.	Will the heritage of ninety-one years be passed on to uncompetent hands and an inexperienced mind?
3.	Will Allen be given away for the asking that ""Anything you want you can get""?
4.	Will Allen University be a payment for a debt or obligation unknown to us?
5.	Will Allen University face the future of uncertainties with a militant educator well trained to sit in conference with the leading educators of the world proclaiming her virture in educational halls until her cause is known to all mankind?
6.	Will the next president be responsible to the people or to a machine, clique or a person in authority as a tool or mouth piece?
4",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/472,472,473.jp2,/adamsea/image/473.jp2
"Letter, no date, Dean A.D. Greene of Allen University to ""members of the Trustee Board, ministers, laymen, alumni, and friends"" discussing an upcoming election, page 2",,,,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,,adamsea37-07,,,"73^
These are some of the questions that should ponder the minds of you as trustees who have been elected to represent African Methodism throughout the world.
In the light of the above mentioned statements with no intention to smirch the character of any of the candidates seeking this sacred office of whom I have the utmost respect and regard. I have endeavored to keep my campaign on a high level of dignity and integrity representative of the office which I seek. May I ask of you to read carefully all the applications and letters received and also to give careful consideration to the communications that I have released. When you will have given serious thought, prayers and evaluation to the contents thereof, if you feel that my background, training, experience and dedication to the cause of Allen University, my standing in the educational world, moral and spiritual character meet your standards of the man to lead Allen University to new horizons, I most humbly accept and appreciate your vote as a president of the people, elected by the people, and a servant of the people. God give me the faith, the courage, and the vision never to betray the authority entrusted to me.
May I caution you that it is said that this election will be veiled with political trickery and all forms of propaganda to emotionalize and mislead the trustees in exercising their conviction of the BALLOT.
It has been promised that there will be an open ballot and that all applicants will be eligible to run. I trust that this will not be denied you and that the election will be strictly democratic. However, may I again alert you to some of the political tricks and pressures that may permeate the atmosphere when you arrive on the campus the morning of election day-----
1.	This is the machine, JOIN!
2.	Hold the line for ?????
3.	This is the authority's select man.
1|. Stay in the circle.
5.	The committee's report is final.
6.	A price for your vote.
7.	Misleading statements from headquarters or upstairs.
May you turn a deaf ear to these tricks, pressures and propaganda. May God guide you as you come to the election meeting and your conscious in making your decision Hold fast to the same until you approach the ballot box to decide the destiny of Allen University.
My headquarters will be in the Dean's Office in the Administration Building. I will be happy to meet all of my friends and supporters. It has been a hard and vigorous campaign. I have enjoyed it. It was very gratifying to me to know the strength before vast popular appreciation throughout the state for my sacrifices and efforts in the past, for this I am grateful. I have tried my best to promote and lay before you the facts and the status of our institution. I rest my future in your hands.
May I close with this prayer for you: ""May God give you the vision to see that which is right and the faith and courage to right that which is wrong.""
Yours in Christ,
Dean A. D. Greene",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/473,473,474.jp2,/adamsea/image/474.jp2
"Notes, no date, handwritten draft of what seems to be a yearbook entry for Adams",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Notes,adamsea37-08,,,"1


^4^",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/474,474,475.jp2,/adamsea/image/475.jp2
"Letter, 1957 January 2, General Board of Education of the A.M.E. Church to board members announcing a meeting",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Correspondence;Letters,adamsea37-09,,,"73s?

Bishop A. J. Allen, Chairman
Bishop George W. Baber, Vice-Chairman
BISHOP D. Ward Nichols, Vice-Chairman BISHOP H. Thomas Primm, Vice-Chairman
RESIDENCE
1405 Villa Place
Phone: BRoadway 7-2220
GENERAL BOARD OF EDUCATION A. M. E. CHURCH
OFFICE
Phone: CHapel 2-6124
Biufsion of Eburatinnal institutions
EXECUTIVE COMMISSION
BEN H. HILL
Chairman
CHARITY M. MANCE
Recording Secretary
REID JACKSON
Corresponding Secretary
CHARLES L. HILL
Chr., Theological Seminary Committee
JOHN H. LEWIS
Chr., Senior College Committee
HOWARD D. GREGG
Chr., Junior College Committee
CHARLES S. SPIVEY, Sr.
ALVIA A. SHAW
S. J. PARKER
414 Eighth Avenue, South NASHVILLE 3, TENNESSEE
SHERMAN L. Greene, Jr., Secretary-Treasurer
January 2, 1957
Dear Member of the
General Board of Education
African Methodist Episcopal Church
Greetings.
Thia is to notify you that the General Board of Education is called to meet in Bethel A M E Church*
1300 South Streets Naenville* Tennessee* Wednesday*
JaauaryJ^j^ at 10 00 a M
Please notify the paster* Bar, Elmer Martine
822 South 12th Street Nashville, Tennessee of any courtesies you may wish in connection with this meeting
Secretary Treasurer s,
Divis^n of Educational Ins ti tutiane 2^'l/'£^^—.
S S Morris^
Secre tary^Treasurer^
Division of Christian Education
Andrew Whi ts, Edi tor»Direc toro
Division of Publications
SLGjrvge",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/475,475,476.jp2,/adamsea/image/476.jp2
"Letter, 1957 January 21, Rev. S.S. Burroughs to Adams announcing the date of pew dedication for Ebenezer A.M.E. Church",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Correspondence;Letters,adamsea37-10,,,"yasy.
^/^^/^.^ 7
521’ .Saith street
;till
Jan. .21
Tills is to infora you that- the Rt, Rev, I.H.. Bonner, Bishop of the Seventh Episcopal District, will dedicate the pews at the Ebenezer A.h.2. Church at 2:30 o’clock Sunday Afternoon..
we would like for you and your good people to cone and be with us in this service.
Your kind consideration in this natter will be .i^hly appreciated.
S. . Buri ouRhs,
or of Ebenezer
H.E",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/476,476,477.jp2,/adamsea/image/477.jp2
"Letter, 1957 February 6, Director Marshall I. Pickens of the Duke Endowmen to chairmen of governing boards requesting responses to a proposal",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Correspondence;Letters,adamsea37-11,,,"8327.
& ^b. 57?
THE DUKE ENDOWMENT
A TRUST ESTABLISHED BY JAMES B. DUKE BY INDENTURE DATED
DECEMBER 11, 1924
OFFICE OF DIRECTOR
Hospital and Orphan Sections POWER BUILDING CHARLOTTE 1, NORTH CAROLINA
February 6, 1957
To Chairmen of Governing Boards and Administrators of Assisted Hospitals:
During the past few years we have had an increasing number of requests from assisted hospitals to identify by name rather than by number the statistics of each individual institution shown in the comparative tabulations furnished each hospital. These studies include (1) hospital cost and service comparisons, (2) in-patient personnel comparisons, and (3) clinical service comparisons.
The information contained in the individual hospital's application for assistance is considered by this office to be confidential. However, there obviously are many advantages to each hospital in being able to identify the statistics of every hospital included within a group. Upon written consent of the individual institutions we will be happy to furnish this additional information provided each hospital within the group gives its consent.
This letter is being sent to the chairman of the governing board and the administrator of each assisted hospital and we would appreciate a letter from each of the administrators, endorsed by the chairman of the board, indicating your approval or disapproval of the proposal. No hospital will be identified without its written consent nor will any group of hospitals be furnished with the identity of the other hospitals contained within its comparative group without full cooperation of each hospital within the group.
Your prompt attention to this request will be appreciated.
Sincerely yours,
y^d^^1^
Marshall I. Pickens
Director",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/477,477,478.jp2,/adamsea/image/478.jp2
"Eugene Avery Adams papers, 1892-1968, folder 37; 1956-February 6, 1957","Adams, E.A. (Eugene Avery), 1886-1958",,1 folder,1956;1957,"Manuscripts Annex, letter size papers, 12 December 1892 to 31 May 1968 and n.d. (folders 1-97)","Adams, E. A. (Eugene Avery), 1886-1958--Correspondence; African American Methodists--History; Allen University--Records and correspondence;",,"Eugene Avery Adams papers, 1892-1968",https://digital.library.sc.edu/collections/eugene-avery-adams-papers-1892-1968/,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",Civil Rights Era (1955-1969),,English,"300ppi, 24-bit depth color, Epson Expression 10000 XL flatbed scanner with SilverFast scanning software, Archival Master file is a TIFF",2016-03,Still Image;Text,image/jpeg,Cards;Correspondence;Letters;Manuscripts;Notes;Permits,,,Sarah Moore;Becky Thompson,,,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/478,478,479.cpd,/adamsea/supp/478/index.pdf
"Letter, 1958 February 15, Rev. George Ashford to Rev. Adams asking to contribute to the Cedar Creek A. M. E. Church fund raiser rally for a church building.",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Letters;Correspondence,adamsea60-01,,,,,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/479,479,480.jp2,/adamsea/image/480.jp2
"Letter, 1958 February 20, Ester M. Wright of the Circulation Department of the Call to Rev Adams requesting information about A. M. E. Church roster of 1957-1958 and the number of schools and hospitals operated by the church.",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Letters;Correspondence,adamsea60-02,,,"835 f
0a Tib^^
MEMBER AUDIT BUREAU of CIRCULATIONS	EST. 1919
1715 East 18™ Street Kansas City, 8. Missouri ____Victor 2-3804
OR
ADDRESS P.O. BOX -4 7 7. K.C.IO. M O.
February 20, 1958
Rev. E. A. Adams
2113 Lady Street
Columbia, South Carolina
Dear Rev. Adams:
I have had opportunity to see a copy of your book entitled Yearbook and Historical Guide to the African Metho-dist Episcopal Church. This book is dated 1955 and gives a roster of A.M.E. churches in the U.S.A, -with addresses.
I am wondering if you have a roster of the A.M.E. Church in the U.S.A, for 1958, or perhaps 1957? If so, would it be possible for you to let me have such a list? I would greatly appreciate it if you would do so.
Also, I am interested in getting some information on the number of hospitals and schools which our church (I am an A.M.E) owns and operates. The before mentioned book gives schools, but only one hospital which is the Douglass Hospital here. Do we own and operate any other hospitals in . the country?
I should like to have any information on our school and hospitals in the foreign fields also. If you do not have such information, perhaps you could direct me to the proper source. Thank you and with very best wishes, we are
Very truly yours, THE CALL
(Mrs.) Estelle M. Wright, Asst. Mgr, Circulation Department
EMWsbmj",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/480,480,481.jp2,/adamsea/image/481.jp2
"Letter, 1958 February 20, David E. Simmons Resident Administrator of the  Freedmen's Hospital to Rev Adams inquiring about any job openings.",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Letters;Correspondence,adamsea60-03,,,"DEPARTMENT OF
HEALTH, EDUCATION, AND WELFARE
FREEDMEN’S HOSPITAL
SIXTH AND BRYANT STREETS NW.
WASHINGTON 1, D. C.
February 20, 19^8
Reverend E. A. Adams Chairman, Board of Trustees Good Samaritan-Waverly Hospital 2202 Hampton Street Columbia, South Carolina
Dear Reverend Adams:
Your name was given to me by Mr. Paul Reeves, the former administrator of your hospital.
At the present time, I am an administrative Resident at Freedmen's Hospital. I will receive a Master in Hospital Administration from the State University of Iowa in June.
If you are interested in a trained administrator, I will be more than happy to send you my qualifications. I will appreciate any information you can give me about the hospital.
Thank you very much.
Sincerely yours,
.A^-CJ^ ^' c>--’ Or <*1 G'''f~p
David E. Simmons
Administrative Resident",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/481,481,482.jp2,/adamsea/image/482.jp2
"Letter, 1958 February 25, a forward letter from Rev. Delaine from the Sumter National Farm Loan Association to Rev. Adams",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Letters;Correspondence,adamsea60-04,,,"VW,
-1'	LOANS
UNO „
C. RANDOLPH JAMESON Secy-Treas.
MRS. HENRIETTA T. TISDALE Asst. Secy-Treas.
SUMTER NATIONAL FARM LOAN ASSOCIATION
••COMPLETELY FARMER OWNED”
FARM MORTGAGE LOANS THROUGH THE FEDERAL LAND BANK OF COLUMBIA IN THE COUNTIES OF SUMTER, LEE AND CLARENDON

AGRICULTURAL BLDG.	TELEPHONE SPRUCE 3-9923
P. O. BOX 951
Sumter, South Carolina
RUSSELL B. GENTRY President
February 25, 1953
Rev. J. A. DeLaine
196-05 111 Avenue
Hollis 12 L. I., N. Y.
Dear Rev. DeLaine:	Liq. Loan 8-162-352
In answer to your letter of February 20, 1958, this is to advise that your plat and certificate of title were mailed to E. A. Adams, 2113 Lady Street, Columbia, S. C. March 8, 1956. We note that the satisfied note and mortgage were mailed direct to you from the Land Bank on January 31, 1956.
C. Randolph Jameson Secretary-Treasurer
Yours very t rul;
CRJ: ht
( Dr. E. A. Adams, I wrote frr the plat for the farm and this is the reply. On a former occasion when I paid out with the Federal Land Bank they did not send the Plat so I wrote to them, they sent me a sketch or appearantly a type of a photostatic copy. I had $ope& hoped that they would send that or something to me.
If you have the plat please send it to me. And if you do not have it please ask them for it (the Plat) or a sketch.) (We are all well.
J. A. DeLaine
196-05 111 Avenue
Hollis 12, N.Y.",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/482,482,483.jp2,/adamsea/image/483.jp2
"Letter, 1958 February 28, Daniel Zeigler requesting Rev. Adams to be the guest speaker for a Mother's Day event, page 1",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Letters;Correspondence,adamsea60-05,,,"'''^h^-'&d f""^^^’^'^■^^^.",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/483,483,484.jp2,/adamsea/image/484.jp2
"Letter, 1958 February 28, Daniel Zeigler requesting Rev. Adams to be the guest speaker for a Mother's Day event, page 2",,,,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,,adamsea60-06,,,9B51.	£x?^^^,,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/484,484,485.jp2,/adamsea/image/485.jp2
"Bill Statement, 1958 February 28 from Dr. A. Izard Josey to Rev. Adams",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Invoices;Financial records,adamsea60-07,,,"STATEMENT
CONSULTATION
BY APPOINTMENT
A. Izard Josey, M.D.
1412 BULL STREET Columbia, South Carolina
TELEPHONES:
OFFICE: 2-0238
RESIDENCE: 2-7053
,	Feb. 28 iq5 8
M Fev, A. Adams
2138 Lady Street
City
FOR PROFESSIONAL SERVICES RENDERED
1958, February - Exam. (Mrs.) - 22^.00",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/485,485,486.jp2,/adamsea/image/486.jp2
"Report, 1958 February, Loans made during the month of February 1958, page 1",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Lists;Financial records,adamsea60-08,,,"/	LOANS MAIS DURING THE MONTH OF FEBRUARY 1958
NAME	SECURITY	AMOUNT	TIME
Condoaa Rice	Ins. Pre®. Pd.	i	22.75	
Wm. Taylor	H	H	H	3?.01	
Lovenia Cosby	Ins. Pol.	^.^O	
Bilson Miles	Chattel	350.00	6 Mos.
Henry Tucker	End. Isom Sims	50.00	U »
WB. Javis	REM.	21^.00	1 «
Johnnie Glover	Ins. Pol.	120.00	6 «
Daisy T. Neal		200.00	10 »
2m. Brice	nd. V. M. Hankerson	50.00	3 ”
Mm. N. Rosenborough		110.00	
Basialis. Jenkins	Ins. Pol.	200.00	8 ""
Joseph H. Bryant		60.00	1 «
A. P. Williams	Ins. Pol.	165.00	1 «
Joseph Fullenwider	Ins. Prem. Pd.	22.58	
John Monzen	Chattel	72.00	UH
Joseph Lewis	REM.	220.00	8 ""
Marion J. Johnson	S/C of maker	315.00	12 ""
Lourine McCottry	End. Roxanna Frazier	2^2.00	if «
J. T. Hilliard	REM.	1,800.00	10 «
Fobert Lee Williams	REM.	1,100.00	10 ""
Robert Hughes	End. Arabella Goodwin	112.00	
Dan Shiver	REM.	lkR.00	8 «
Beni. Boozer		65.00	3 H
Willie M. Hancock	S/C of Joe Goodwin	21^.00	10 «
A. W. Simkins	REM.	^,237.6^	12 *
Rufus Bell	Chattel	792.15	10 «
F. M. Young	REM.	675.00	12 «
Hills Norris	S/C of maker	30.00	2 ”
TOTAL LOANS MADE
TOTAL LOANS PAID
DECREASE IN LOANS
: 11,666.53
■ .12,191.72
525.19",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/486,486,487.jp2,/adamsea/image/487.jp2
"Report, 1958 February, Loans made during the month of February 1959, page 2",,,,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,,adamsea60-09,,,"INCOME
INTEREST AND DISCOUNT ..............................   §	1,759-84
SERVICE CHARGES ON LOANS	AND DISCOUNT ,...□.................792.75
EXCHANGE...................................................  36.19
INCOME ON REAL ESTATE	OWNED ....................16.63
DOCUMENTARY STAMPS	 ........................ 53.35
RECOVERIES .............................................    438.02
INTEREST ON U.S. BONDS ................................   5,448.19
GROSS INCOME	8,544.97
EXPENSE
First National Bank (Exchange) ......•....••.«•	5*7°
TUTA Tax	..•••••••••*•. • • • • • • • • •••••.• • • .•.• <>• • • •	45*19
Postage	«• ...•• ••• ••.«• • . «• • • • ..•••••.•••.	Ho.00
Recordak Corp. (Films) .••*•••............................ 103*55
Burrougs	..................•••<>•••.••••«•*	1.73
Carolina Paper Co. (Coin Envelopes) ....................... 25.85
Station WOIC (Adv. Service) ...•...••••.•..•••	101.20
Columbia Linen Service ••••...•••.•..........................2.00
S. C. Electric 6 Gas Co.	...............55.90
U.S.S.S. Tax •.•.••••••••••••••••••••••••.••.••.34.51 Rent (Jan. & Feb^ 1958)	....os*.....*....•.••*-	250.00
Parking Space (Jan. 1958)	• .........o.***.	50.00
Telephone •.•«••.«••••••.•••••••.••••.••»• • <>»••.	23*07
Hiller Hardware ».•...• ..................................   2.35
Carl A. Wilson Ins. Agency (Eastover) •••••.•.•*	23.50
Lorick Office Supply Co. ...................  .••.••	5*22
SALARIES
Belton........................................................127*93
Dixon	     28.00
Johnson ............................................274.70
Monteith	.•••••.•••••••■•••••••/.•.••••••.•o...	500#00
Neal •• •••••.• •••••• • 0 .....•••.••«• . ••••••«•••••	231.25
Olivier	••••••.• •••••••••••.• • •••••.• •*.	117*25
Simkins ....................................................  253.32
TOTAL EXPENSE
Short Cash
Adjusted Gross Income
Net Income
$ 2,308.22
25.27
6,236.75
$	6,211.48",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/487,487,488.jp2,/adamsea/image/488.jp2
"Letter, 1958 March 1, Alpha Psi Lambda Chapter to members about a meeting",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Letters;Correspondence,adamsea60-10,,,"832?.
1300 Heidt St., Apt® D Columbia, So Co
March 1, 1958
Dear Brother:
Alpha Psi Lambda Chapter of Alpha Phi Alpha Fraternity will hold its regular monthly meeting March 4, 1958, 8:30 P. M* at the home of Brother Frank Veal,- 1429 Pino Street* It is hoped that each brother will attend this meeting. Included on the agenda for the meeting are the following items:
Report of Banco Committee
' ’Report of ""Stars of Tomorrow"" Committee
Report of Ritual Committee
Report of Pan-kellenic Committee
Report of Budget Committee
Report of Public Service Committee
Cur dance.will -be held Raster Monday, April 7. Each brother will be allowed three	, one for himself and guest, two for others and guests-. (This means that each brother will ba allowed six guests including himself) Please be prepared to pass in your guest list to the dance committee at this meeting.
'The ""Stars of Tomorrow"" Committee is asking that all brothers be prepared to make, their ticket reports , at the meeting. This committee would like to make a complete report as quickly as possible.,
All chapter dues are supposed to bo paid in full by the April
- :Stingo As yen are' aware, our next meeting will coma just before the ■ '.""o', ■■ rofeve, it is very necessary for us to complete most of our duss in March,
Host ■.•:■'■ rs for this '..outing are Eros, R. E. Gremlin, T. W, Swinton, Frank Veal, T. S. Martin and Thomas Robinson.
114? ?o- so of Alpha.j.s always come to rooting and bring another
open to you. Be a Good Alpha and brother with you Tuesday night.
Dues Paid",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/488,488,489.jp2,/adamsea/image/489.jp2
"Program, 1958 March 3, Alpha Psi Lambda Chapter Sons of Tomorrow featuring outstanding Collegiate Musicians, held at Allen University, front cover",,,1 item,,,,,"Eugene Avery Adams papers, 1892-1968",,University of South Carolina. South Caroliniana Library," Copyright Not Evaluated. For more information contact the South Caroliniana Library, University of South Carolina, Columbia, SC 29208.",,,,,,,,Programs;Social functions,adamsea60-11,,,"S^
Alpha Psi Lambda Chapter
of
Alpha Phi Alpha Fraternity, Inc.
Presents
Stecid ^ ^otnaviaca
Featuring Outstanding Collegiate Musicians
With a view toward acquainting citizens of this community with outstanding musical talent of our colleges—to show public appreciatiin of the fine work which the music departments are doing—and to encourage promising young artists, Alpha Psi Lambda Chapter is sponsoring their Third annual “Preview of Tomorrow’s Stars.”
ALLEN UNIVERSITY
MONDAY. MARCH 3, 1958
8:30 P.M.",,2016-12-08,2016-12-08,http://cdm17173.contentdm.oclc.org/cdm/ref/collection/adamsea/id/489,489,490.jp2,/adamsea/image/490.jp2
