"CONTENTdm number","Reference URL","Title","Description","Year","Transcript"
4176.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4176","Re-elect Truman Committee, August 19, 1948","A document listing the people that donated money to the Re-elect Truman Committee on August 19, 1948.",1948.0,"RE-ELECT TRUklAN COLmlTTEE    John H. kicCray, Director  1022-ij Washington Street  Columbia, South Carolina    August 19, 1948    Sidney S. Toom, Field Chain,  Orangeburg County    R. B. D. 1, Box 81, '    Orangeburg, South Carolina    The undersigned persons herewith pledge their vote on November 2, 1948, and  give the amount Listed, as their contribution to the National Campaign to  re-elect Truman."
4177.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4177","Re-elect Truman Committee, August 19, 1948","A document listing the people that donated money to the Re-elect Truman Committee on August 19, 1948.",1948.0,"RS-EL3CT TRUrnAN CCLUTTEE    Joan H. McCray, Director  1022| Washington Street  Columbia, South Carolina    August 19, 1948    Sidney S. Tooin, Field Chairm  Orangeburg County    R. B. D. 1, Box 81,  Orangeburg, South Carolina    The undersigned persons herewith pledge their vote on November 2, 1948, and  give the amount listed, as their contribution to the National Campaign to"
4191.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4191","Letter to Mr. Sidney S. Tobin from John Henry McCray, September 25, 1948","A letter to Mr. Sidney S. Tobin from John H. McCray sent on September 25, 1948.",1948.0,"September 25, 1948    Mr. Sidney S. Tobin    Route 1, -ox 81  Orangeburg, S, C,    Dear Mr. Tobin:    Thank you for your letter of September 24 and the  kind Invitation to epeak at the county-wide ""Truman  for President"" rally at the Mt. Pisgah baptist  Church.    You failed, however, to state in your letter what  Friday night this meeting is to take place. Please  send us this information as soon as possible.    Sincerely yours,    JHMcC/dd    John H. McCray    State Director    Re-elect Truman Committee"
4207.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4207","Letter from Sidney S. Tobin, September 24, 1948, Page 2","A letter from Sidney S. Thompson sent on September 24, 1948.",1948.0,"September 24, 1948    Dear Pastor and Christian Friends;    * The progressive, militant and dynamic leader,    Mr. John H. mcCray, Editor of the Lighthouse and Informer  will speak to the citizens of Orangobueg on Friday night,  October 1 at Mt. Pisgah Baptist Church at 8:00 p.m.    You are invited to attend.    Sidney S. Tobin"
4225.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4225","Letter to the Business Manager of the Spartanburg Herald from John Henry McCray, September 14, 1944","A letter to the Business Manager of the Spartanburg Herald from John H. McCray sent on September 14, 1944.",1944.0,"September 14, 1944    Business Manager    Spartanburg Herald    Spartanburg, South Carolina    Dear Sir,    Would you be so kind as to send to us your  political advertising rates? We are in need of  this information to plan our budget for our  coming fall campaign.    jhmitl    Sincerely yours.    John H, McCray  State Chairman"
4386.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4386","Letter to John Henry McCray from S. J. McDonald, May 15, 1944","A letter to John H. McCray from S .J. McDonald sent on May 15, 1944.",1944.0,"DISTRICT SUPERINTENDENT    Rev. E. C. Wright    Post Office Box 588    Sumter, S. C.    Board of Lay Activities of The  Sumter District of The  Central Jurisdiction of The  Methodist Church    Mr. S. J. McDonald, District Lay Leader  211 Oakland Avenue, Sumter, S. C.    ASSOCIATE DISTRICT LAY LEADERS  Mr. Roosevelt Davis  Lamar, S. C.    Mr. W. E. Keels  Route 2 Lynchburg, S. C."
4391.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4391","Letter to the business manager of the Anderson Independent from John Henry McCray, September 14, 1944","A letter to the business manager of the Anderson Independent from John H. McCray sent on Septemeber 14, 1944.",1944.0,"1944    September 14t    Manager    Anderson, South Carolina    Would you be so kind    Sincerely yours.    jhml tl    John H. McCray  State Chairman    Would you be so kind as to send to us your  political advertising rates. We are in need of  this information to plan our budget for our coming  campaign."
4394.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4394","Letter to the business manager of the Charleston Evening Post from John Henry McCray, September 14, 1944","A letter to the business manager of the Charleston Evening Post from John H. McCray sent on September 14, 1944.",1944.0,"September 14, 1944    Business manager  Charleston Evening Post  134 Meeting street  Charleston, South Carolina    7 I    Dear Sir,    ' / Would you be so kind as to forward to us    yojr political advertising ratesT We are in  need of this information to plan our budget    I for our coming fall campaign.    Sincerely yours.    jhmttl    John H. McCray  State Chairman"
4397.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4397","Letter to the Business Manager of the Greenville News from John Henry McCray sent on September 14, 1944.","A letter to the Business Manager of the Greenville News from John H. McCray sent on September 14, 1944.",1944.0,"September 14, 1944    Business Manager  Greenville News  Greenville, South Carolina    Dear Sir,    Sincerely yours,    jhmttl    i            \\        John H* McCray    State Chairman    Would you be so kind as to send to us your  political advertising rates? We r're in need of  this information to plan our budget for our coming  fall campaign*"
4400.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4400","Letter to the Business Manager of the Palmetto Leader from John Henry McCray, September 14, 1944","A letter to the Business Manager of the Palmetto Leader from John H. McCray sent on September 14, 1944.",1944.0,"September 14, 1944    k    Business Manager    Palmetto Leader    1310 Assembly Street    Columbia, South Carolina    Dear Sir,    Would you b e so kind as send to us your  political advertising rates. We are in need of  this information to plan our budget for our  coming fall campaign.    jhms tl    Sincerely yours,    John H. McCray"
4408.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4408","Letter to Dr. S. J. McDonald from John Henry McCray, July 1, 1946","A letter to Dr. S. J. McDonald from John H. McCray sent on July 1, 1946.",1946.0,"July 1, 1946    Dr. S* J* McDonald,    211 West Oakland Avenue,  Sumter, South Carolina    Dear Dr* McDonald:    Thank you very much for the affidavits  anent refusals to enroll citizens in your  county* These were turned over to Mr* Hinton  this morning for processing and subsequent  placement with the Department of Justice*    It is my ho e that your program is  going well* I should liKe also to discuss  with you as early as possible a program  for the Second Congressional Distriet,  which you have the honor to serve as  cha irman*    Sincerely yours,    John H. McCray    JHMc:jh"
4435.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4435","Letter to Reverand T. Henry Harris from John Henry McCray, June 14, 1948","A letter to Reverand T. H. Harris from John H. McCray sent on June 14, 1948.",1948.0,"June 14, 1948    Serf* T, E, Harris    202 W, California Street    York, South Carolina    Dear Mbv, Harris*    It was a Sinoere pleasure to have met and been with you,  Mrs, Harris and looey, and to have received the generous  and muoh appreciated kindnesses in your heme on yesterday,    1 look forward to working further with you along lines of  interest to both of us, I would like to have you assist  us in establishing the Progressive Democrats in York, an  organisation sorely needed if York is to do effective work  on voting.    Please let me hear from you.    Sinoerely yours.    JHMoC/dd    John H. koCray    co* Mr, A, J, Clement, Jr"
4438.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4438","Letter to Mr. John Henry McCray from T. Henry Harris, June 25, 1948","A letter to Mr. John H. McCray from T. H. Harris sent on June 25, 1948.",1948.0,"202 West California St    York,South Carolina    June 25,1948    Mr.John H.McCray    i    10222 Washington St.    Columbia 20,South Carolina    Dear Mr.McCray;    I received, your letter of June 17_th and. also the letter of June 21istz  and. I am indeed glad, to hear from you.    Mr .McCray, I understand, according to your letter of June 21ist,  that I am to make a report to you by July l,and the Quotas for each  county have been sent to me.But the Quotas have not been sent to me,if    4    so I have not received them.But never theless.we will do our best bv  July 1,1948.And too,I have organized a Progressive Democrate Club here  in the town of York,S.C.,and the organization has about 43 members.    Mr.McCray,I am sending to you a list of the names of the officers  of the Progressive Democrate Club of the town of York,S.C.    Sincerely Yours,    T.H.Harris"
4450.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4450","Re-elect Truman Committee, August 16, 1948","A document listing people that have pledged their vote and some money to the Re-elect Truman Committee on August 16, 1948.",1948.0,"RE-ELECT COMMITTEE OF Truman    John H.McCray,Director    10222 Washington Street    Columbia,South Carolina    August 16,1948    The undersgned persons herewith pledge their vote on November 2,1948 and  give the amount listed,as their contribution to the National Campaign to    REELECT Truman;    Amount Name Address"
4456.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4456","Letter to Mr. John Henry McCray from T. Henry Harris, August 31, 1948","A letter to Mr. John H. McCray from T. H. Harris sent on August 31, 1948.",1948.0,"202 W.California St    York,S.C.    August 31,1948    Mr.John H.McCray    I    10222 Washington Street    Columbia 20,South Carolina    Bear Mr.McCray;    I am sending to you $76.oo seventy six dollars for the Truman Campaign  of York county,which is only a part of what I am trying to do.I will  send to you the names of all who contributed in the near future.    Mr.McCray,we are looking forward to your coming to York,S.C.on  Monday night,September the 6th.    Sincerely Yours,    T.H.Harris"
4472.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4472","Article 2, Section 5, Constitution of 1898, Page 2","A document detailing Article 2, Section 5 of the Constitution of 1898 about what to do if denied the right to vote.",1944.0,"e) ""Payment of texes necessary for voting* Mangers of election  shall require of every elector offering to vote at any election  before allowing him to vote, proof of the payment thirty days  before any election of any poll tax then due and payable* The  production of a certificate or of the receipt of the officer  authorized to collect enich taxes shall be conclusive proof  of the payment thereof*"
4488.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4488","Letter to Mrs. Flora L. Neismith from John Henry McCray, August 16, 1945","A letter to Mrs. Flora L. Neismith from John H. McCray sent on August 16, 1948.",1945.0,"August 16, 1945    Mrs. Flora L. Nelsmlth  P. o. sox ?  Kingstree, S. C.    Dear Mrs. Nelsmlth:    This Is to confirm our discussion of  Sunday (August 12th) in reference to meeting  citizens at Nelsmlth Sunday September 2nd at  2 :. M.    Should you be unable to follow through  on this plan please be good enough to notify  me in ample time.    With best wishes for your continued  success.    Very truly yours,    JHMcCzdab    John H. McCray  State Chairman"
4491.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4491","Letter to Mrs. Annie M. Robinson from Laurene W. Dakers, February 6, 1947","A letter to Mrs. Annie M. Robinson from Laurene M. Dekers sent on February 6, 1947.",1947.0,"February 6, 1947    Mrs. Annie M. Robinson  Box 77  Greelyville, 8. C.    w    Dear Mrs. Robinson:    received your recent correspondence notifying us of ,  the change of the meeting place to Trinity Baptist Church.    Mr. McCray will arrive in time for your program on the  afternoon of the 9tb. He will travel by automobile.    Very truly yours,    Lauxene '5. Dakar s, Secretary"
4502.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4502","Letter to Mr. Henry J. Cooper from John Henry McCray, July 12, 1948","A letter to Mr. H. J. Cooper from John H. McCray sent on July 12, 1948.",1948.0,"July 12, 1948    Mr, H, J, Cooper    Boute 3, Box 186    Kingstree, S, C,    Dear Mr* Cooperi    This acknowledges receipt of your letter of July 8    In whioh you request Information about the 1946  registration certificate.    Yes, this certificate is still goo until December 31,  1948, This was made possible by a special order of  the Legielature this year.    Sincerely yours,    John H, McCray    JHltoC/dd"
4534.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4534","Letter to Mr. John Henry McCray from Frank Dix, February 4, 1947, Page 1","A letter to Mr. John H. McCray from Frank Dix sent on February 4, 1947.",1947.0,"Page #2 Mr. John H. McCray - February 4, 1947    This letter is to officially ask you to become a member of the 1947  Atlanta School Committee.    Please discuss this with Mr. Solomon at your earliest convenience and  write us that you will agree to serve.    Other members in the Committee include: Mr. E. M. Mitchell of the North  Carolina Mutual Life Insurance Company, Winston-Salem, N. C.; JI. R. Austell  and W. A. Quillian of Atlanta; Dr. J. Russell Dyett of West Palm Beach, Florida.    Best wishes.    Sincerely yours,  BOY SCOUTS OF AMERICA    FRANK DIX    Deputy Regional Executive    FD/ef    CC - Mr. R. E. Stevens"
4696.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4696","Letter from the Boy Scouts of America, February 3, 1946","A letter from the Boy Scouts of America sent on February 3, 1946 about the 30th Anniversary.",1945.0,"FOR RELEASE    FROM: BOY SCOUTS OF AMERICA  (National Office)  2 park Avenue  New York 16, N. Y.    On or after Feb. 3, 1945    BOY SCOUT WEEK IS  Feb. Sth to 14th    The Boy Scouts of the nation, observing their 36th anniversary during Boy  Scout V.eek, Feb. 8th to 14th, are helping brother Scouts in war-torn lands, through  an unusual project Known as the ""Shirts-Off-Our Backs"" Campaign.    Now numbering nearly two million, the Boy Scouts and their leaders are conr  tributing used but clean and serviceable Scout uniform parts and camping equipment  to neip boys overseas resume their Scouting activities.    A special effort is being made during February to call at homes of former  members for Scout Uniforms and accessories no longer needed.    In approving thip nation-wide effort, the National Executive Board of the  Boy Scouts of America emphasized that the collection is not to be thought of us  charity, but instead a sharing by one Scout with another.    Scouts are giving up parts of their uniforms and equipment that they may not  be able to replace soon, out Scout Leadeis feel this helpfulness will create an  interest on the part of American Scouts in brother Scouts in other Lands, their .  customs and history. Since each Scout donor is asked co include his name and  address on the equipment, it is felt that friendships thus formed will contribute  to world-wide understanding.    Usable uniform parts being collected include Boy Scout and Cub Scout shirts  (without badges), hats ana caps, shorts, neckerchiefs and slides, lanyards, belts,  stockings and shoes. Eq.uipment desired for shipment overseas includes axes,  knives, mess kits, duffel bags, haversacks, sleeping bags, tents, bugles,compasses  fire making sets, first aid kits, signaling flags, whistles, and Scout literature.    The World Friendship Fund, consisting of voluntary contributions bf Boy  Scouts, will defray all shipping costs.    # # #"
4713.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4713","Letter to Mr. James M. Hinton from John Henry McCray, March 2, 1945","A letter to Mr. James M. Hinton from John H. McCray sent on March 2, 1945.",1945.0,"March 1, 1945    Mr. James *. Hinton  P. 0. B ox 1145  Columbia, 3. C.    Dear Mr. Hinton:    The Richland County Division of the Central South  Carolina Council of Boy Scouts of America is in  the midst of a campaign to raise $4,000 by April  15.    This sum is a part of $9,000 the Central Council  is attempting to raise fir the purpose of purchasing  land and establishing a camp for Negro Scouts on a  180 acre tract in Lexington County. The Negro  Division of Riehl .nd County has set as its goal  $2,5000of the county s ;uota.    As drive chairman for the Negro Division I am  asking that you serve as fihsistant Chairman of the  P rofessionul and Business group committee. That  we might h ve a coordinated campaign I am wondering  if you might not be good enough to meet in my office  at 7:00 P. M. Tuesday, March 6 at hich meeting other  ch irmen ill be present?    Sine rely yours,    John H. McCray"
4786.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4786","Letter to a Scouter from J. Henry McCray and Roscoe E. Stevens, July 3, 1946, Page 1","A letter to a Scouter from J. H. McCray and Roscoe E. Stevens sent on July 3, 1946.",1946.0,"Dear Scouter    July 3, 1948    The Richland Diviaion -will meet at the Taylor Street  U. S. 0. Monday, July Sth, at 8:00 P. M.    We urge you to be present and on time.    Yours truly,    J. H. McCray, Chairman    Roscoe E, Stevons, Scout Ex"
4803.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4803","Letter from the Boy Scouts of America, February 3, 1946, Page 2","A letter from the Boy Scouts of America sent on February 3, 1946 about the 36th Anniversary.",1946.0,"Many of our American Scouts and Scouters lie buried in the soil of France.  They gave their lives in the cause of human liberty. The Boy Scouts of America,  as represented by these Scouts and Scouters, shall be forever a part of France.    While the American Government maintains an appropriate care of the last  resting place of our fallen, may we voice the hope that 'the Boy Scouts of France  will consider themselves the guardians of the graves of our Scouts and Scouters  there.    ""If annually on our Memorial Day, May 30th, the Scouts could see fit to hold a  simple ceremony at the military cemeteries, it would bring great comfort to the  parents and families of these, your Brother Scouts, and help to cement further the  bond of friendship between us.    ""We are sending you our flag of friendship which we hope can be flown on such  occasion in association with The Flag of the United States of America and The Flag  of France.    ""Our Scout greetings to the Boy Scouts of France."""
4818.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4818","Boy Scouts of America Region VI, 1946, Atlanta School for Scouters, Page 3","A document about the Atlanta School for Scouters in Boy Scouts of America, Region VI.",1946.0,"Atlanta School for Scooters    Please arrive on time and stay for entire course. No reductions in cost made  FOR LATE ARRIVAL OR EARLY DEPARTURE.    It will be necessary FOR each man to provide his own sheets and pillow cases and  TOWELS.    QUARTERS? College Dormitory Rooms will be used for sleeping quarters.    PURPOSE OF THE ATLANTA SCHOOL? The purpose of the Atlanta School is to help  train Divisional Administrative Leaders so more boys may have a rich experience  in Cub Scouting, Boy Scouting and Senior Scouting.    REGISTER EARLY? It is important that we let Morris Brown College know, just  AS SOON AS POSSIBLE, THE NUMBER OF MEN WHO WILL BE IN ATTENDANCE. THEREFORE,  FILL OUT THE ATTACHED CARD AND TURN OVER TO YOUR LOCAL SCOUT OFFICE ALONG WITH  THE NECESSARY FEES.    BE SURE TO INDICATE THE COURSE YOU WILL TAKE.    CERTIFICATES? Will be issued only to those who participate full time.    THE ATLANTA SCHOOL COMMITTEE    E. M. Mitchell  A. J. Clement, Jr.  Dr. M. L. Walton  M. R. Austell  S. G. Sellers  Dr. J. H. Dyett    Winston-Salem, N. C.  Charleston, S. C.  Thomasville, Ga.  Atlanta, Georgia  Atlanta, Georgia  West Palm Beach, Fla.    W. A. Dobson  Herbert Stuckey  Gilbert Bush  0. B. Gorman  Frank Dix    Regional Executive    Deputv Regional Executive  Depltv Regional Executive  Deputy Regional Executive  Deputy Regional Executive    Regional Office? 940 C & S Bank Bldg., Atlanta, Ga"
4880.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4880","Bills against the Progressive Democratic Party of South Carolina, September 14, 1944","Bills against the Progressive Democratic Party of South Carolina including taxis, photographs and stamps.",1944.0,"Bill against the Progressive democratic Party    3 Taxis   $1.20    Photographs   1.50    Stamps   1.98    1 telephon e 50     ^iT""  O.E. McKaine"
4881.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4881","Letter to Mr. John H. McCray, September 15, 1944","A letter to Mr. John H. McCray sent on September 15, 1944 about the success of the Progressive Democratic Party.",1944.0,"9-15-44    Dear Mr. McCray*    Please feel free to call on me for anything I can  do to further the success of this, our party.    sincerely,"
4892.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4892","Letter to Mr. Foreman from John H. McCray, September 18, 1944","A letter to Mr. Foreman from John H. McCray sent on September 18, 1944.",1944.0,"September 18, 1944    Clark Foreman, Secretary    National Citizens Political Action Committee  205 Bast 42nd Street  Mew York 17, N.Y.    Dear Mr. Foreman,    I apologize for not having replied to your  first letter inviting me to membership on the  National Citizens Political Action Committee and  wish to say that I would consider it an honor to  hold membership on the committee.    Please so Include me and be good enough to  inform me of my duties. It is my belief that  nothing should stand in the way of the re-election  of President Roosevelt, nor that any person who  might be able to contribute to this effort should  shirk his duty.    Sincerely yours,    John H. McCray    State Chairman    jhmttl"
4893.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4893","Letter to Mr. John H. McCray from Lee Rickard, September 18, 1944","A letter to Mr. John H. McCray from Lee Rickard sent on September 18, 1944.",1944.0,"(even i ngs)    Pres. Treas.    IN DEPENDENT  PUBLISHING CO.    MEMBER AB.C.    ASSOCIATED PRESS    Anderson    South Carolina    (morning AND SUNDAY    - Anderson Daily Mail    September 18, 1944    Mr. John H. McCray    Sta te Cha i rman    Progressive Democratic Party  1022-g- Washington Street  Columbia 20, S. C.    Dear Mr . McCray:    Thank you for your inquiry of September 14,    This is to advise you that our advertising rate  for political copy is $1.50 an inch. This includes  insertion in both our morning and evening papers.    Hoping we will be able to serve you, and with  best wishes, we are    Lee Rickard    CH    Sincerely yours,    National Advertising Mgr."
4899.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4899","Testimonial Dinner in Honor of Ferdinand C. Smith, September 20, 1944, Page 1","A program for the testimonial dinner in honor of Ferdinand C. Smith on September 20, 1944.",1944.0,"Testimonial Dinner    IN HONOR OF    FERDINAND C. SMITH    In Recognition of His Outstanding Service    To Labor, the Negro People, and the Nation    HOTEL COMMODORE    NEW YORK    Wednesday Evening, September 20, 1944"
4917.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4917","Letter to Mr. McCray from Gennie S., September 27, 1944","A letter from Gennie S. to Mr. McCray sent on September 27, 1944.",1944.0,"September 27, 1944    Dear Mr. McCray:    The dollar is from a N.Y. working girl whose  husband is with the 3rd. army in France.    The two letters came today.    What do I do now?    cordially,"
4920.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/4920","Letter to Miss Gennie R. Seideman from Margaret Franz, September 27, 1944, Page 2","A letter to Miss Gennie R. Seideman from Margaret Franz sent on September 27, 1944.",1944.0,"Page 2    9-27-44    We will also be glad to send you further information  on the Conference and the organizational methods used by different  groups, if you are interested. If there is any other way we can be  of assistance to you, please let us know.    best wishes,    Margaret Franz    mF: vp    Enclosure"
5268.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/5268","National Citizens Political Action Committee, Weekly Report No. 7, September 20, 1944, Page 2","Weekly Report No. 7 from the National Citizens Political Action Committee made on September 20, 1944.",1944.0,"And there was Tom Dewey himself. On November 13, 1943 he demanded . . .    ""an immediate change"" in Administration policies, and warned that the  people ""will suffer grave hardship in impairment of their health and  production.""    The Undoing of the False Prophets ...    The opponents of the Administration who predicted that we'd not have enough  to eat failed to take into account two things:    ], The determination and vitality of the American people.    2. The fact that the New Deal farm program of the decade preceding the  war was the greatest national defense program in American history.    On the first count Dewey and his backers had no more faith in the American  farmer than they had in American industrialists and workers. Remember  Dewey's statement that it would be impossible to build 50,000 planes a year?  As to the New Deal farm program and its contribution to our wartime food  supply, we need look only at the benefits to farmers provided by the Rural  Electrification Administration, the TVA and other power projects. In ten  years under REA more than 3 times as many farms were electrified as in the  13 years preceding.    The public works program of the New Deal, so severely criticized by the men  who back Dewey, was responsible for building more than twice as many hard-  surfaced roads as were built in the 13 years preceding. Those roads have  helped revolutionize farm life in the United States.  I    The same critics constantly attacked the Farm Security Administration. They  claimed the FSA misused its authority in ""raising the living standards of  its clients to somewhere near the highest prevailing in a community."" This  philosophy is one of the reason for the reactionaries' attack on . . .    Subsidies . . .    Subsidies help the poorest farmers. In 1942 the FSA was providing help to  464,000 needy farmers and their families. And though the FSA was attacked,  these farmers who were helped have been responsible for much of the increase  in wartime food production. Could there have been any more sound investment  in the defense of our Nation?    For every $1 the Government invested in this worthy enterprise the consumer  saved $20 on his grocery bill, due to increased farm production and the help  subsidies gave in holding the price line.    Now who objects to that?????    V Big Farmers who do not get much subsidy but who would gain greatly from  price rises.    V Middlemen (some of them) who would get high profits from price rises.    V People who just don't like the idea of paying farmers.    V Obstructionists who would love to hinder the war effort and blame the  mess on FDR.    'Mute"
5517.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/5517","Semi-formal dance invitation, May 2, 1947, Page 3","An invitation to a semi-formal dance held by the Phi Beta Fraternity, Inc. and Zeta Phi Beta Sorority, Inc. on May 2, 1947.",1947.0,"Our Cause Speeds On.    The founders of our wonderous band,  In numbers, though were three;    Taught Ideals high, which soon became,  A part of every Phi.    Said they, ""Our cause let us make heard,    Oh, Brother don't dismay,  ""Faint not, fight on, for in this wise,  Our cause speeds on its way.""    From western planes to eastern hills    There comes a shout of praise,  A shout which tells of victory,  Bids Beta Sigma raise,    A shout which swells to loud hurrahs    And to us seems to say:    ""Fear not, fight on, for our cause speeds    Nobly on its way.""    March on, march on ye mighty host,  Nor think the journey done;    lx or of future deeds to boast,  Till we've the victory won.    Then when we hear, from time to time,  Sigma, what of the day?    We'll thunder back along the line;    Our cause speed on its way.    Zeta Phi Beta National Hymn.    With fervent hearts we pray    For you, Zeta, each day,    You've always stood for right,  Rather than for the might;    We'll love you ever,    Forsake you never,    When Zeta calls, we'll answer one and all.    Zeta Phi Beta,    We love you so,    Your very name sets our hearts aglow,  You're brave, and you will see  That Zeta Phi Bata means victory."
5578.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/5578","National Dawson Day, A Tribute to a National Leader, William L. Dawson, October 29, 1950, Page 3","A program for National Dawson Day, a tribute to a national leader, William L. Dawson on October 29, 1950.",1950.0,"WILLIAM LEVI DAWSON    Member of Congress, First Congressional District of Illinois  Chairman, House Committee on Expenditures in the Executive Departments  Vice Chairman, Democratic National Committee    Executive Secretary, Democratic Congressional Committee"
5846.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/5846","Letter from Ernest A. Finney, May 24, 1948","A letter from Ernest A. Finney sent on May 24, 1948.",1948.0,"CLAFLIN UNIVERSITY    J. J. SEABROOK, President    ORANGEBURG, SOUTH CAROLINA    OFFICE OF THE DEAN    May 24, 1948    The Lighthouse and Informer  1022^- Washington Street  Columbia, South Carolina    Dear Sir:    On April 12 we sent you an attached announcement for our  summer school. We requested that this announcement run  for five weeks - full month of May and one week in June.    In view of the fact that it has not appeared, we would  like for it to begin as quickly as possible and would like  for you to bill the college.    We are also enclosing an announcement of our commencement  activities which you will please include with this issue.    Very truly yours,    Ernest A. Finney  Dean    EAFg    Encl. 3"
6215.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/6215","Letter to Mr. John H. McCray from John H. Wrighten, October 10, 1946","A letter to Mr. John H. McCray from John H. Wrighten sent on October 10, 1946.",1946.0,"S.C.State College  Orangeburg, S.C.    October 10, 1946    Mr. John H. Me Cray  1022^ Washington St.    Columbia, S.C.    Dear Sir:    A committee from the N.C. Nix Vetrans Post was in Columbia to  see you on Tuesday, to uur regret we did not find you in. We shall  like to tell you of and incident that happen here tu us as vetreans  at S.C.State.    Please let us know when it will be possible for you to hear this,  we are very eager for you to hear this, because we think that you can  help us out.    Please let me know in return mail when it will be possible to see  you on this matter.    John    John H. Wrighten"
6216.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/6216","Letter to Mr. O. E. McKaine from M. F. Whittaker, December 9, 1946","A letter to Mr. O. E. McKaine from M. F. Whittaker sent on December 9, 1946.",1946.0,"State Agricultural and Mechanical College    ORANQEBURG, 5. C.    OFFICE OF THE PRESIDENT    December    9,    1946    Mr. 0. E. McKaine,  1020 Washington Street,  Columbia, South Carolina.    Dear Mr. McKaine:    I am glad that you liked the recent copy of    our Study Commission Bulletin. We thank you for the  pleasing comment which you gave it in your column of  The Journal and Guide.    With kind regards, I am    Yours very truly,    very truly    M. F. Whittaker,  President."
6238.0,"http://cdm17173.contentdm.oclc.org/cdm/ref/collection/p17173coll38/id/6238","Letter to Mr. John H. McCray from E. A. Parker, May 22, 1950","A letter to Mr. John H. McCray from E. A. Parker sent on May 22, 1950.",1950.0,"E. A. PARKER    ATTORNEY AT LAW    20 1-2 WEST LIBERTY STREET    P. O. BOX 947    SUMTER, S. C.    May 22, 1950.    Mr. John H.McCray, Editor  Lighthouse & Informer  1507 Hardin Street    C o lumb i a, S. 0.    Pear Mr. McCray:    Please find inclosed check for $5.00.    Kindly accept same to aid you in making up your  defense fund."
